time_step,capacity_factor
0,0.00813559429947616
1,0.0093274253170963
2,0.006917686343690117
3,0.008732778944645072
4,0.013343135863958229
5,0.010690311547303512
6,0.01784142448890688
7,0.0016608802320689198
8,0.0012062944984499357
9,0.019047916258282976
10,0.011212302648955159
11,0.01849530237499107
12,0.015914079470845457
13,0.01642035625219858
14,0.006290766130293066
15,0.004949694698145848
16,0.013522801511568866
17,0.0018151112476322063
18,0.014037436544300412
19,0.011860054733038073
20,0.009329376421209292
21,0.013674412039970463
22,0.01909970161631415
23,0.003877346557029506
24,0.009750319251240126
25,0.004168896863522711
26,0.019469356383837073
27,0.0060974118980933216
28,0.004561719201094891
29,0.01423387143783032
30,0.00986154793514223
31,0.015029853211328978
32,0.01557851496707799
33,0.017502394397408486
34,0.015624792748982867
35,0.005452447125038899
36,0.00989268311661185
37,0.009217716021307712
38,0.0064182214261573915
39,0.017406960914247763
40,0.014311883428545533
41,0.015511031286192113
42,0.017951041369106736
43,0.01900613838492141
44,0.009782321475866435
45,0.014957217037127536
46,0.005304909567553657
47,0.009765661988229271
48,0.008212508749309814
49,0.008213311605597089
50,0.003147574475483037
51,0.0035008117791457205
52,0.009361045831518804
53,0.017367194356176043
54,0.009614612181781269
55,0.009793094537802282
56,0.0025835149038439444
57,0.013984142291461617
58,0.002375472790640356
59,0.01307134418677741
60,0.018740892153067654
61,0.012250166622479604
62,0.006561344226448713
63,0.017396434514369775
64,0.013849581491470033
65,0.011346754097663806
66,0.016404813505739805
67,0.01176281892995138
68,0.00045417068761008264
69,0.005462612831530405
70,0.004564482640611512
71,0.011919424197108676
72,0.0033388490669973847
73,0.0028351451360381663
74,0.009638239507006641
75,0.008519054925755672
76,0.017872260046060753
77,0.00810050079061244
78,0.010949411086937344
79,0.006524479546067321
80,0.007498373988640212
81,0.009153118758788149
82,0.01792693951441743
83,0.0023096183948088742
84,0.018537957919220673
85,0.015539161115706917
86,0.00039287401157598543
87,0.003772561192890074
88,0.013716165569133852
89,0.018692695562822235
90,0.019010851813419154
91,0.006950715179004729
92,0.01982889661273501
93,0.001845684087857753
94,0.010193601689568954
95,0.019481675525282703
96,0.014429146144064145
97,0.015006795015324372
98,0.01180029556910596
99,0.01778279760271948
100,0.0012403564148648005
101,0.01803750776052111
102,0.0037062751362295174
103,0.007496501519562934
104,0.016876077303091243
105,0.008908116502796826
106,0.00017799336718691495
107,0.018696940842619626
108,0.019196635750732306
109,0.0013257031238115436
110,0.009826321882420622
111,0.01403927640269608
112,0.004662315349735129
113,0.01781480261432627
114,0.01599184715679968
115,0.018879908437054588
116,0.015030582372560575
117,0.011935226086848485
118,0.0008891576134124079
119,0.0025717527462842393
120,0.0058349395262765145
121,0.015033174917276279
122,0.0041017874422878365
123,0.00044405450783593817
124,0.006295955518871255
125,0.009791718334169657
126,0.011279920681702615
127,0.011463894377082551
128,0.014146381837226827
129,0.010872904545363202
130,0.006944148154094407
131,0.01593401851284747
132,0.008795931208702524
133,0.00934873028958027
134,0.005149774361433861
135,0.001598882206308161
136,0.0018175860687744327
137,0.01781370675478867
